outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;300;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Male;Yes;3650;Cat;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Male;Yes;5110;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;2190;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;white;black;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1460;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;white;domestic longhair;
Adoption;Female;Yes;120;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;;white;blue;domestic mediumhair;
Transfer;Male;Yes;330;Cat;False;;white;orange;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;2555;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;1825;Cat;False;tabby;white;orange;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;tabby;brown;;manx;
Transfer;Female;No;28;Kitten;True;torbie;Breed Specific;;manx;
Adoption;Female;Yes;30;Kitten;True;tortie;Breed Specific;;siamese;
Return to Owner;Male;Yes;1460;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Return to Owner;Female;Yes;1095;Cat;False;;black;;domestic shorthair;
Euthanasia;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;orange;;domestic mediumhair;
Euthanasia;Male;Yes;3650;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;3650;Cat;True;point;lynx;;siamese;
Adoption;Female;Yes;210;Cat;True;tabby;brown ;white;maine coon;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Female;No;1;Kitten;False;;blue cream;;domestic shorthair;
Euthanasia;Female;No;730;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;0;Kitten;False;;gray;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;;domestic mediumhair;
Adoption;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;True;point;flame;;siamese;
Transfer;Male;No;30;Kitten;False;tabby;orange ;white;domestic mediumhair;
Transfer;Male;No;120;Kitten;False;tabby;orange;;domestic shorthair;
Return to Owner;Female;Yes;3285;Cat;False;;white;;domestic shorthair;
Adoption;Male;Yes;365;Cat;True;point;seal;;ragdoll;
Transfer;Male;No;28;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;270;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;2;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;330;Cat;False;;blue;white;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;2920;Cat;False;;black;white;domestic longhair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic longhair;
Euthanasia;Female;No;28;Kitten;True;point;blue;;siamese;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;300;Cat;False;;blue;white;domestic mediumhair;
Adoption;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;3;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;150;Kitten;False;;white;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;gray ;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;point;seal ;white;snowshoe;
Transfer;Female;No;4;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;1460;Cat;False;;black;white;domestic longhair;
Transfer;Female;No;730;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;smoke;black ;brown;domestic mediumhair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;point;lynx;;siamese;
Transfer;Female;No;30;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;True;tabby;brown;;bengal;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;300;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;150;Kitten;False;;black;white;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic mediumhair;
Transfer;Male;No;30;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;150;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;blue;;domestic shorthair;
Return to Owner;Male;Yes;2920;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;150;Kitten;False;;white;blue;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;cream;white;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;4015;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;5475;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;120;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Male;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;No;365;Cat;False;;white;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;blue;;domestic shorthair;
Euthanasia;Male;Yes;5475;Cat;False;;blue;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;calico;Breed Specific;white;snowshoe;
Transfer;Female;No;365;Cat;False;;blue;;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;point;seal ;white;snowshoe;
Adoption;Female;Yes;2190;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Male;No;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;;black;;domestic longhair;
Transfer;Female;Yes;180;Cat;False;;black;;domestic shorthair;
Euthanasia;Female;No;3650;Cat;False;calico;Breed Specific;;domestic longhair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;3650;Cat;False;tabby;blue;;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic mediumhair;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;3650;Cat;True;tabby;orange;;devon rex;
Transfer;Female;Yes;210;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;blue;;domestic shorthair;
Euthanasia;Male;Yes;365;Cat;False;;white;brown;domestic mediumhair;
Return to Owner;Male;Yes;365;Cat;True;;black;;bombay;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;2920;Cat;True;tortie;Breed Specific;;japanese bobtail;
Transfer;Female;No;14;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;3285;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;white;orange;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;cream ;white;domestic shorthair;
Euthanasia;Female;No;3650;Cat;False;;white;black;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;point;lilac;;siamese;
Adoption;Female;Yes;1095;Cat;False;point;lynx;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;90;Kitten;False;tabby;cream ;white;domestic shorthair;
Adoption;Female;No;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;4015;Cat;False;;black;white;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Male;No;7;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;240;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;torbie;Breed Specific;;domestic longhair;
Euthanasia;Female;Yes;2555;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;;blue;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Male;No;730;Cat;True;;black;;manx;
Euthanasia;Male;Yes;5110;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;white;orange;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;True;torbie;Breed Specific;;abyssinian;
Adoption;Male;Yes;180;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;white;black;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;True;point;seal;;siamese;
Missing;Male;No;60;Kitten;False;tabby;white;brown;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;white;brown;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic longhair;
Adoption;Male;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;No;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;1095;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tortie;Breed Specific;white;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;white;brown;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;blue;;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Died;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;8030;Cat;False;point;seal;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;365;Cat;True;;blue;;russian blue;
Adoption;Male;Yes;2555;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;torbie;Breed Specific;;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;300;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
